translated,label
"Large memory, durable screen",positive
"I really like the phone, high -quality sound, the camera is super, convenient to use!",positive
Good phone for their amount,positive
Good tel,positive
The brightness of the screen and after a month already hangs,negative
"Very well welcomed by a pleasant environment, friendly employees seller Oksana Super",positive
chamber the weak,negative
Poor video quality when viewing on any social network. You can’t exchange and return,negative
"Good PVZ maintenance, great phone",positive
I have not noticed yet,negative
Great goods. Active. Fire screen. Excessively works,positive
Cool,positive
Quality of the original pelvis,positive
super gift for his wife,positive
Good phone,positive
I liked my alternative to the story 2,positive
I had a pre-gift. I don't think they will please.,negative
definitely costs your money,negative
Only pluses,negative
price/quality,positive
norms,positive
The camera is great.  The film is even super.,positive
"The weight is not difficult, there is a fingerprint and face.",positive
The smartphone flies. I do not presume to speak for other brands. There is nothing to compare with. 15 GB (12+3) Operational is already talking about something.,negative
"Cool phone, bought a father",positive
Good,positive
My son liked the phone.,positive
Only advantages,negative
Topic,positive
Bought a son 10 liters. The child is satisfied does not freeze quickly and is enough for a long time.  The child quickly downloaded all games.,positive
Android does not freeze normally,positive
The quality of the phone is cheap to have a cheap quality Game Barin Code,negative
The battery is heated,positive
Camera✊🔥,negative
Camera,positive
"I really liked the phone, camera, image #",positive
Cool gadget until I regret,negative
I liked the phone,positive
"a lot of attachments, diverse social networks are loaded",negative
Great phone for your price.,positive
Cool,positive
"Also good, in its own way.",positive
Camera. Sound. Filling,positive
camera good nimble phone,positive
Thanks to the manager Ilya!,positive
No,negative
"A good camera, fast charging, loud speakers, large memory, does not hang in games and a cover included - an excellent phone for a child !!! Battery charge with very active use is enough for the whole day!",positive
Phone,negative
"Fast, comfortable, holds charging well",positive
Great phone.,positive
"Great phone, I wanted to.",positive
Cool phone,positive
Simple,positive
"I have not yet opened it; A birthday gift for a birthday, but those. Reviews about the device are excellent!",positive
5G for 90 thousand tenge,negative
"It holds the charge perfectly, the quality of photos at the highest level, video fire",positive
"Great phone, recommended for purchase",positive
"Great camera, stylus is convenient for the screen chic",positive
Everything is fine,positive
good,positive
good phone better samsung,positive
"processor, camera, functions",positive
good phone for such a price,positive
"The camera is good for the photo, the phone design is excellent, the phone assembly and the characteristics are excellent, 90Hz smooth screen, additional. Functionality installation, etc., as a flagship Honor 90, well, cut a lot of things",positive
400,positive
Great quality smartphone,positive
I like,positive
"Quality, price, practicality, reliability",positive
"The phone is fire, I don’t know at the expense of games, I took my wife, for two days it calmly holds without aim",negative
where is the bonus,negative
I arrived printed and without films,negative
Super,positive
An alternate UN,negative
A good phone,positive
A very nice phone. We liked,positive
Cool,positive
cheap. Full set,negative
"Fast, nimble, very convenient, many functions, you can download Google Playy",positive
Nimble convenient,positive
"I took the child, an indestructible phone😎",positive
"A peppy apparatus, satisfied",positive
"Screen, memory size, battery",positive
It will go,positive
Good phone for your price,positive
Fine,positive
Very cool phone super,positive
A strong phone,positive
"A good court, liked my daughter, available. To Technodom",positive
"Great phone quality, excellent camera, I advise you to buy everything in the technodoma.",positive
Stylish design,positive
The phone is good,positive
"It loads for a long time, lacks RAM, it works tight",negative
I liked it,positive
"Great screen, battery, protection at 360.",positive
The phone is strong,positive
There is everything you need for a modern smartphone,positive
Great smartphone 5,positive
Consultant super,positive
Good,positive
Cool phone,positive
I recommend that you get a good quality of the quality of the quality of the quality.,positive
"Good smartphone for your price. Light, nimble, smart.",positive
"A good display, a clear picture and worthy photos, a big zoom (as for me, the quality of the photo with maximum is not the strength but waggers), a good USB Type-C wire, good autonomy",positive
No,negative
"It works fine, I like everything",positive
All super thank you very much,positive
"Great phone, bought children, works very well",positive
Everything is super,positive
Display memory of RAM phone shape sound DOBLE Atmos is gorgeous,positive
"Price, quality and characteristic",positive
Great smartphone I advise everyone,positive
So far I am meeting,positive
"I bought a window option. They delivered a phone without disconnecting the Retail Mode demonstration mode. When contacting a hot line, there was an answer that it is impossible to reach the Aktobe branch. They offered to go to the store. Question: Why do I need extra problems? Teach employees to prepare gadgets before sending the client!",negative
Good water heater,positive
"The camera takes off perfectly, the battery is good. Design ♥",positive
Screen and processor,positive
Good phone for such a price,positive
miracle,positive
What I wanted $,positive
Design color,positive
Price,positive
The sound is not very. Photo blurred in night shooting. brakes at night shooting,negative
Phone gun,negative
Good goods,positive
"The phone is light and comfortable, camera",positive
"The phone is good, I recommend 😊",positive
good to the presence of,positive
Good phone for your money.,negative
Apple is Apple,positive
"quality, speed, cameras super",positive
"satisfied with the quality, the second was bought for a gift",positive
"Great phone is super bright, loud nimble",positive
"Gorgeous smartphone! Quality, dimensions, performance at the highest level!",positive
It works fine,positive
suoer,positive
Okane came to Rahmet,positive
"liked a good phone, and I got a promo code thanks to Technodom",positive
"So far, everything suits",positive
It works fine #😊,positive
Thanks,positive
memory,positive
Everything is fine,positive
The phone is good,positive
"Super, great design, perfect for me",positive
Good consultant,positive
Great phone,positive
"Charging quickly sits down. I was told that enough for 1.5 days, they had enough ate. I regret that I bought for such an amount.",negative
The appearance is cool. It seems like a furry.,positive
Great smartphone for such a price,positive
"The phone is wonderful, especially the multicide is just chic. The camera is excellent",positive
There is calmly enough battery for a day,negative
"Memory, processor, camera",positive
The design is a good phone works without problems,positive
"The equipment corresponds, the smartphone performs its work, for the student the most.",positive
"good phone, took the mother -in -law as a gift",positive
5+,positive
"Phone is very good, I liked the alternative, well, camera is very cool",positive
The price and quality is beautiful,positive
For 189900 a good phone,positive
"Easy, convenient to use! I recommend",positive
Convenient phone.  He folded and in his pocket or bag takes up little place. Pretty nimble and the camera is excellent.,positive
Fine,positive
Price-quality,positive
"Nimble, I liked everything. The camera is good.",positive
Great,positive
"I took my son, in full satisfied",positive
Great smartphone,positive
Good device,positive
"The phone is nimble, works fine",positive
"Shell, speed, camera",positive
100ase 10,positive
"It works furiously, 120Hz screen gives a smooth picture for scrolling.",positive
No,negative
"Good telephone is happy to keep thanking, thank you",positive
Miracle,positive
Very good phone ~,positive
quickly served,positive
The miracle of my daughter,positive
Cool,positive
nimble,positive
"Fast, thin",negative
"bought for 90,000 and a week later it became 60,000",negative
Fine,positive
"Interesting Magic Black. Charging Supercharge 68W, on the dock 15W. JBL sound",positive
Smartphone Redmi 14c 8/256gb type of matrix IPS LCD normal phone,negative
"Good samung, holds the battery perfectly. The fotik is good. For such a price, I was looking only for the sake of the matrix in the budget segment, the edging of the metal, the plastic is behind. A wide framework, Samsung applications can be removed, but not disconnected. Unlocking the screen of the screen is quite fast, the unlock sensor on the screen is not a very convenient place.",negative
The norms so yourself,positive
Is strong when I thought,positive
Thanks works well 100%,positive
100%,positive
inexpensive,positive
Good modern smartphone.,positive
Convenient in use,positive
Great strong phone,positive
good option for your money,positive
rapidity,positive
just a super child is very happy,positive
"A good smartphone. I liked an alternative to an 11-year-old, does not solve quickly.",negative
"I bought 3 days ago, while everything is fine, thanks to the Caspian",positive
Beautiful and convenient design,positive
Technodom in Caskelene is the best,positive
Cellular cell!,positive
"Good speed, convenient interface",positive
Super everything is fine,positive
I am satisfied with the phone’s work.,positive
"The phone is just super convenient, I liked it now I will take all the goods from you",negative
Hello phone ☎ Very #,positive
thanks,positive
Good budget smartphone,positive
While my daughter is happy,positive
"Great phone, very nimble, cool camera and super display. Face ID for Android!",positive
Faced the phone from the windbreaker with defects,negative
"good, convenient, delivery norm",positive
Great phone,positive
"Cool and convenient, easy to handle. The price justifies the quality.",positive
"I purchased a phone in the technodom on Abulkhair Khan on the action together with Bereke Bank. Consultants said about the action that there would be a 10% discount and 10% of the cashback on the bank card, and now it turns out that they have a limit 15 thousand cashback, but this was not said in the conditions. Misleaded, information should be given the timely time to carry out such shares. I regret that I bought from you!",negative
Amir is the best seller,positive
10 ++++,positive
The pope smartphone cars,positive
It works well,positive
Good phone. does not work but flies. I liked the photo and video shooting. It quickly charges and holds the battery well.,positive
Great phone! High -quality and affordable!,positive
Weak phone,negative
Great smartphone works fast. Camers are just super.,positive
The phone is excellent at an affordable price does not hang does not lag supports heavy games. I recommend,positive
Alternative loved a strong smartphone,positive
super,positive
The product itself is good,positive
SUPER!,positive
Zarina is the best employee of the Technodoma,positive
price,positive
Have,positive
"Awesome phone, the price of the characteristics, the connection catches better than the Samsung S23 Ultra. I write because there was Samsung",positive
"The phone is excellent, I really liked it",positive
Everything is fine,positive
"Price, wireless charging",positive
works),positive
"The nimble small, worthy processor, the volume of memory pleasantly surprised. The battery holds perfectly!",positive
It costs your price,negative
A good phone bought her mother everything suits her,positive
The phone is super,positive
Smartphone costs its money,negative
It works fine,positive
Oppo smartphones are the best 🥳,positive
"Very good smartphone, does not lag quickly working",positive
"So far, it’s normal",positive
powerful,positive
Excellent ♥,positive
"A very good phone, does not lag, a good camera, a nimble phone",positive
Best for that kind of money,positive
Cool ⭐⭐⭐⭐⭐,positive
Very good phone,positive
Beautiful,positive
"Good, fast phone. I took my son for a gift, satisfied, all the games are pulling.",positive
great,positive
"The bodies are very good, the response is fast",positive
I am delighted,positive
The most gorgeous model,positive
